recovered_name	original_obfuscated_name	kind	detail
orchard.internal.lIIIIIlI	q96.x.lIIIIIlI	unidentified	
orchard.internal.lIIIIIll	q96.x.lIIIIIll	unidentified	
orchard.internal.lIIIIl	q96.x.lIIIIl	unidentified	
orchard.internal.lIIIIlI	q96.x.lIIIIlI	unidentified	
orchard.internal.lIIIIlIl	q96.x.lIIIIlIl	unidentified	
orchard.internal.lIIIIll	q96.x.lIIIIll	unidentified	
orchard.internal.lIIIIllI	q96.x.lIIIIllI	unidentified	
orchard.internal.lIIIIlll	q96.x.lIIIIlll	unidentified	
orchard.internal.lIIIlI	q96.x.lIIIlI	unidentified	
orchard.internal.lIIIlII	q96.x.lIIIlII	unidentified	
orchard.internal.lIIIlIII	q96.x.lIIIlIII	unidentified	
orchard.internal.lIIIlIIl	q96.x.lIIIlIIl	unidentified	
orchard.internal.lIIIlIl	q96.x.lIIIlIl	unidentified	
orchard.internal.lIIIll	q96.x.lIIIll	unidentified	
orchard.internal.lIIIllII	q96.x.lIIIllII	unidentified	
orchard.internal.lIIIlll	q96.x.lIIIlll	unidentified	
orchard.internal.lIIIllll	q96.x.lIIIllll	unidentified	
orchard.internal.lIIl	q96.x.lIIl	unidentified	
orchard.internal.lIIlI	q96.x.lIIlI	unidentified	
orchard.internal.lIIlIII	q96.x.lIIlIII	unidentified	
orchard.internal.lIIlIIII	q96.x.lIIlIIII	unidentified	
orchard.internal.lIIlIIIl	q96.x.lIIlIIIl	unidentified	
orchard.internal.lIIlIIl	q96.x.lIIlIIl	unidentified	
orchard.internal.lIIlIIll	q96.x.lIIlIIll	unidentified	
orchard.internal.lIIlIl	q96.x.lIIlIl	unidentified	
orchard.internal.lIIlIlI	q96.x.lIIlIlI	unidentified	
orchard.internal.lIIlIlII	q96.x.lIIlIlII	unidentified	
orchard.internal.lIIlIlIl	q96.x.lIIlIlIl	unidentified	
orchard.internal.lIIlIll	q96.x.lIIlIll	unidentified	
orchard.internal.lIIlIllI	q96.x.lIIlIllI	unidentified	
orchard.internal.lIIlIlll	q96.x.lIIlIlll	unidentified	
orchard.internal.lIIll	q96.x.lIIll	unidentified	
orchard.internal.lIIllI	q96.x.lIIllI	unidentified	
orchard.internal.lIIllII	q96.x.lIIllII	unidentified	
